id;name;code;dims;color;price;unit;category;section;page;raw;deleted
822b96b91cef;Nosilec obešalne;095702;4 x 2;Ni;1;KOS;NOSILNE KONZOLE;Nosilec obešalnih cevi;4;;
f3aa407ab24f;Obešalna ovalna;150807;1,5 x 3;Cr;2;TM;NOSILNE KONZOLE;Nosilec obešalnih cevi;4;;
ce0ce460b5e9;Nosilec steklenih polic PAR;390617;4 x 6;MCr;30;PAR;NOSILNE KONZOLE;Nosilec steklenih polic;4;;
539b87b835cf;Nosilec steklenih polic 100 kos;080310;1,5 x 2,6;Ni;20;PAK;NOSILNE KONZOLE;Nosilec steklenih polic;4;;
301fb7c784b8;Nosilec polic za steklo;080334;0,8 x 1;Ni;1,5;KOS;NOSILNE KONZOLE;Nosilec steklenih polic;4;;
62e46209eea4;Držalo stekla (steklo 4-10mm);128060;5 x 2,5;Cr;5;KOS;NOSILNE KONZOLE;Nosilec steklenih polic;4;;
f69ac9793106;Kljunasta konzola;098002;7 x 7,6;MCr;10;KOS;NOSILNE KONZOLE;Nosilec steklenih polic;4;;
63aec9866b8a;Okrogla rozeta;150813;6 x 2;Bela;10;KOS;POHIŠTVENI DODATKI;Rozeta;9;;
7f097cbd1b4b;Okrogla rozeta;087199;6 x 2;Srebrna;10;KOS;POHIŠTVENI DODATKI;Rozeta;9;;
a6c1f7d2b3e8;Soft zapiralo;;;;70;KOS;DRSNI SISTEMI;Dodatki za drsne sisteme;27;;
